year,title,excerpt,decade
1997,"General Electric Co's net income was up 13.1 percent, to $2.16 billion in second quarter from $1.91 billion a year earlier","revenue for quarter was up 15 percent, to $22 billion (S) G.E. Profit Up Despite Troubles",1990
1994,"The Council of Fashion Designers of America has announced the winners of its 1994 C.F.D.A. Awards, which are to be presented at a dinner on Jan. 30 at the New York State Theater at Lincoln Center.    RICHARD TYLER has been named women's wear designer of the year. VICTOR ALFARO, CYNTHIA ROWLEY and ROBERT MASSIMO FREDA won the Perry Ellis Award for New Fashion Talent. ROBERT LEE MORRIS and GENE MAYER are to be cited for accessories. CHRONICLE",,1990
1998,"Dave Anderson Sports of The Times column discusses relationship between Boston Red Sox Hall of Fame baseball player Ted Williams and retired Sen John Glenn, who at age 77 is to travel into space aboard space shuttle Discovery Sports of The Times",A Familiar Idol Talks About His 'Idol in Life',1990
1993,"A chart in Business Day on Friday, with an article about stocks that posted the biggest gains and losses in the first quarter, included an erroneous entry for Humana Inc. supplied by Media General Financial Services. Humana split 2 for 1 in the first quarter when it spun off its hospital management company, Galen Health Care Inc. Thus Humana was not the stock showing the largest percentage decline on the New York Stock Exchange in the quarter.   In addition, the three charts with the article, showing the biggest gainers and losers on the New York and American stock exchanges and the Nasdaq market, mislabeled the quarter covered. It was the first.   Corrections",,1990
1998,"Three professional surfers meet kindred spirits on an international quest for the ultimate wave. Pretty but all wet. Water World: Surf's Up, and It's Rough Out There",,1990
1996,"David Dumers, former Hudson County (NJ) Jail guard convicted in 1989 beating death of inmate Arnaldo Ortega, is sentenced to 15 years in prison","William Finck, another guard who pleaded guilty to simliar chages, receives 14-year sentence; Thomas Murphy, another guard who admitted covering up crime, is sentenced to four months (S) (New Jersey Daily Briefing) Former Jail Guard Convicted",1990
1996,"Marjory Banks Grannis, lecturer, community volunteer and mother of New York State Assemblyman Alexander B (Pete) Grannis, dies at age 80 (S) Marjory Grannis, 80, Community Leader",,1990
1999,"Article contends that while class warfare has largely disappeared from New York's labor scene, Transit Workers Union has embraced it with a vengeance in its campaign for new contract","union, representing 35,000 subway and bus workers, is distributing hundreds of thousands of copies of novel leaflet with cartoon of fat cat holding fistful of hundred dollar bills; leaflets insist that Mayor Rudolph Giuliani and Governor George Pataki have starved transit system of funds by giving billions of dollars in tax breaks to corporations (M) Fliers From Transit Union Draw on Class Distinctions",1990
1990,"* Du Pont Co., Wilmington, Del., will sell its formaldehyde plant in Toledo, Ohio, to Perstorp Polyols Inc. of Sweden. * Fedders Corp., Peapack, N.J., a maker of air-conditioners, will buy the Emerson Quiet Kool division of the Jepson Corp., a unit of Great American Management and Investment Inc., for $56 million and assumption of some liabilities. * Gleason Corp., Rochester, said its board had decided not to sell the company despite overtures from G. S. Beckwith Gilbert and Field Point Capital Management Co. * International Business Machines Corp., Armonk, N.Y., will move the headquarters of its worldwide communications division to Britain from Somers, N.Y. * Reliance Financial Services Corp., a subsidiary of Reliance Group Holdings Inc., a concern controlled by the family of Saul P. Steinberg, purchased 451,000 common shares in the UAL Corporation in the third quarter. UAL has about 21.9 million common shares outstanding. * Thorn EMI P.L.C., London, a telecommunications, electronics and entertainment conglomerate, will pay a maximum of $93.5 million for Filmtrax P.L.C., a British music publisher, and its U.S. subsidiary, Filmtrax Copyright Holdings Inc. BRIEFS",,1990
1994,"* Home Shopping Network Inc., St. Petersburg, Fla., and Kevin Harrington have formed a joint venture called HSN Direct to produce infomercials worldwide. Mr. Harrington, who will be president and chief executive of HSN Direct, was previously an executive vice president of National Media Corp., Philadelphia, an infomercial producer. Also joining HSN as chief operating officer is Bob Swift, who was previously senior vice president of marketing at Turner Broadcasting Sales Inc., Atlanta. * Leo Burnett Worldwide has merged its operations in Adelaide, Australia, with Andrew Robertson Advertising, Adelaide. The terms were not disclosed. The new agency, Robertson Leo Burnett/Adelaide, will operate from Burnett's current office. Andrew Robertson, managing partner at Robertson, will head the new shop. Miscellany",,1990
1993,"Old movies usually cost $14.98 in video stores, but at discount stores and supermarkets the price can drop to as low as $5.99.   For some movies, that is. You won't find ""The Sound of Music"" at $5.99, but the price applies to a raft of public-domain titles and B movies that studios and distributors figure they might as well sell as have lying around film vaults. Home Video",,1990
1998,"GRANT-Alice Waters. Passed away peacefully on December 18 at home in Hobe Sound, FL. She joined her beloved husband, Donald who died on November 28, 1998. Their extraordinary marriage lasted for over 66 years. Her humor and generosity touched all who knew her. She never forgot a birthday, admitting to only 39 of her own. Not only skillful at the bridge table, graceful on the tennis court and the dance floor, she was also an enthusiastic and creative hostess. She brightened the lives of friends and family alike. Loving mother of Sheila (deceased), Michael D. Grant Jr. of Greenwich, CT, Thomas W. Grant, and Patricia G. Warner, both of Locust Valley, NY. Grandmother to 10 grandchildren: Andrew, Luke, Michael, Bettina, Mimi and Tim Grant Jr., Alexander, Kate, Michael and Alice Warner (deceased). Motherin-law to Elizabeth L. Grant, Mary I. Grant and Douglas A. Warner III. A memorial mass will be held on Friday, March 5, 1999 at 4 PM at St. Christopher's Church, Hobe Sound, FL. Interment private. In lieu of flowers, the family has requested memorial contributions be made to St. Jude's Research Hospital, 501 St. Jude Place, Memphis, TN 38105-1905, and the Jupiter Island Clinic, PO Box 375, Hobe Sound, FL 33475. Paid Notice: Deaths  GRANT, ALICE WATERS",,1990
1996,"Jo Van Fleet, who won an Academy Award, a Tony Award and other honors for her portrayal of proud, stoical women, died yesterday at Jamaica Hospital in Queens. She was 81.         Ms. Van Fleet was known as an actress's actress, a highly skilled professional who worked with equal ease onstage, in films and on television. For her first screen appearance in 1955, she won an Academy Award as best supporting actress for playing James Dean's mother in Elia Kazan's film ""East of Eden."" Two years later, she won a Tony Award as best featured actress for her role as the irritable Jessie Mae Watts in Horton Foote's ""Trip to Bountiful.""    Jo Van Fleet, 81, an Actress Who Portrayed Proud Women",,1990
1995,"To the Editor:         Your survey of New Jersey's apple and cider industry (""Apples, Distilled to Their Essence,"" Oct. 8) prompts me to give up of our most closely held gastronomic secrets: a way to enjoy the taste of fresh cider all year.    Essence of Fall's Essence: How to Make Cider Syrup",,1990
1995,"SCORE one for proponents of the efficient market theory, which holds that prices change so rapidly to reflect new information that professional investors have no edge over the little guy. By extension, it is folly for investors to think that they can consistently beat an efficient market.   Recent work by Burton G. Malkiel, a professor at Princeton University, supports that view as it applies to mutual fund investing and contradicts several other recent studies that suggested winning funds tend to repeat their glowing performances. How to Judge? Flip a Coin",,1990
1995,"An article on Saturday about the Long Island Rail Road's purchase of double-decker coaches referred incorrectly to the places where such coaches are now used. Besides Chicago, they indeed include the East Coast -- in Boston and Miami. Corrections",,1990
1994,*3*** COMPANY REPORTS ** BCE Mobile reports earnings for Qtr to Sept 30,,1990
1997,"Barbara Bernstein article accuses Levittown, NY, Superintendent of Schools, Dr Herman A Sirois, of censorship",Sirois removed Robert Lipsyte book One Fat Summer from middle-school required reading list in response to parent's ojection (M) Censoring Books Is a Bad Idea,1990
1999,"Jane Auger letter corrects Dana Kennedy's August 29 article on film Outside Providence which described Rhode Island hot dogs as 'soggy' Squeaky, Not Soggy",,1990
1990,"LEAD: The International Labor Organization, a United Nations agency, issued a report today showing steadily rising inflation in many nations in the first few months of 1990. Britain's inflation rate rose to 9.4 percent from 7.7 percent in the comparable period in 1989. Inflation Rise Abroad",,1990
1990,LEAD:    THE MEXICAN MURALITS IN THE UNITED STATES    By Laurence P. Hurlburt    Illustrated. 320 pp. Albuquerque:    University of New Mexico Press. $45. POLITICS WRIT LARGE,,1990
1992,"Earl Wild  Pianist Carnegie Hall    Earl Wild will be 77 years old in a couple of weeks, and at an age when a number of people are slowing down, the American pianist was on the stage of Carnegie Hall on Friday night playing some of the most horrifyingly difficult piano music ever written. Mr. Wild began with three Rachmaninoff pieces: the ""Corelli"" Variations, his own transcription of the Vocalise and the B-flat-minor Sonata. He ended with Chopin's Opus 25 Etudes and the B-minor Scherzo. Classical Music in Review",,1990
2004,"RUBENSTEIN--Joel Kopel. 67, died February 1, 2004. Joel is survived by his loving partner, Julie Diller, sons Jeffery and Todd, and deceased son Lee, stepchildren Ken and Cathie Diller and grandchildren Alyssa Lee, and Kevin. In liew of flowers, Donations may be made to Hoag Cancer Center, Newport Beach, CA. Paid Notice: Deaths   RUBENSTEIN, JOEL KOPEL",,2000
2005,"The city medical examiner has changed the cause of death of a Bronx man to homicide, the police said yesterday. The man, Wellington Contreras, was struck last week in Bedford Park by a street sign that had been knocked down from a pole by a driver who had been shot. The driver, Shawron Hughes, 21, was shot by an unknown assailant and his car swerved out of control, hitting the pole and then knocking down the sign. Mr. Hughes is in stable condition at St. Barnabas Hospital, the police said.    Metro Briefing | New York: Bronx: Death Reclassified As A Homicide",,2000
2004,"Los Angeles Lakers prepare to face San Antonio Spurs in Game 4 of second-round playoff series, while Lakers guard Kobe Bryant also prepares for pretrial hearing in sexual assault case (M) With Bryant In Trouble, The Lakers Are as Well",,2000
2001,"Anna Kisselgoff reviews performance by Fort Worth Dallas Ballet at Joyce Theater (M) Dallas Ballet's Makeover, Sleek, Exuberant and Eclectic",,2000
2006,Anyone who wonders where the City of Yonkers got its reputation for ethical dubiosity can learn a thing or two by reading an audit released last week by State Comptroller Alan Hevesi. The Yonkers Shuffle,,2000
2005,Find out where George Washington led and Nathan Hale died. The Revolution in New York City,,2000
2002,"Basketball Notebook discusses new look of New Jersey Nets player Lucious Harris, who sheds his clear mask worn for broken bone on face, but cannot shed his slump in Game 3 of NBA finals against Los Angeles Lakers","Nets player Aaron Williams fouls out of Game 3 in seven minutes 12 seconds (M) Nets' Harris Changes His Look, but Not His Luck",2000
2009,"An article in some editions on Wednesday about the Pakistani foreign minister’s public criticisms of United States policy on Pakistan during a visit there by two senior American officials referred incorrectly at several points to the rank of one of those officials, the chairman of the Joint Chiefs of Staff. As the article initially noted, the chairman is Adm. Mike Mullen",he is not “General Mullen.”. Correction,2000
2004,"Fire in Mount Vernon, New York, apartment building displaces 54 people, but no one is seriously injured",officials believe that fire was started by accident by child left alone; photo (M) Mount Vernon Fire Displaces 54 Families,2000
2007,To the Editor:. Going to War Wasn’t the Answer (1 Letter),,2000
2002,"A general on Sunday denied that Iraq still has any weapons of mass destruction but hinted that, a decade ago, Baghdad came close to building an atom bomb. A Top Iraqi Aide Defies U.S. to Find Proof of Weapons",,2000
2009,"The Royal Opera House will produce a new work, called “The Twitter Opera,” in which the libretto will be composed of short messages sent on the popular social network. Also: a violinist for the National Symphony Orchestra performs the national anthem using an electric violin made from a regulation bat. The Twitter Opera and a Baseball Bat With Strings",,2000
2006,"INTERNATIONAL   A3-13    Bush Making Push at Home And Abroad for Iraq Efforts  Seeking political momentum from his surprise trip to Baghdad, President Bush warned Democrats that an early withdrawal of troops would set back counterterrorism efforts, and promised to send American diplomats to press countries to make good on $13 billion in pledges toward rebuilding Iraq.   A1    On the first day of the new government's security regime in Baghdad, soldiers and police officers took up positions, while Iraqis went about their business, wondering what, if anything, would be different.   A13    Afghans' Release Sought  An Afghan government delegation to Guantánamo Bay, Cuba, said about half of the 94 Afghans being held there were not guilty of serious crimes and should be released.   A12    After the three suicides at Guantánamo, the respectful reception for a former detainee, Moazzam Begg -- whom the Pentagon still portrays as a terrorist -- is one of many markers of the waning credibility of Washington's detention policies.   A1    Palestinians Protest Back Pay  Palestinian civil servants stormed the parliament building in the West Bank demanding back pay, in the second violent protest this week at parliament, underscoring growing pressure on the Hamas government on several fronts.   A10    Offer to Iran Omitted Penalties  When a formal incentives package by the six powers to encourage Iran to curb its nuclear program was presented in writing in Tehran, it omitted a long list of potential punishments should Iran reject it, according to senior officials familiar with the package.   A3    NATIONAL   A14-21    Officials Seeking Source Of Lethal Heroin Mixture  Police and health authorities are struggling to track down the source of a doctored, intensely powerful heroin that has killed many in and around Chicago and Detroit and sent hundreds more to hospitals in cities from St. Louis to Philadelphia.   A14    Wealthier to Displace the Poor  Federal housing officials said over 5,000 public housing apartments for the poor are to be demolished in New Orleans and replaced by developments for residents with a wider range of incomes.   A16    Rove Decision Relieves Bush  President Bush said he ''took a sigh of relief'' when federal prosecutors decided this week not to indict Karl Rove, his top political adviser, in the C.I.A. leak case. Mr. Bush voiced full support for Mr. Rove, but otherwise declined to go into the details of the investigation.   A19    SCIENCE/HEALTH    Genetics to Explain Behavior  Studies that suggest a connection between DNA makeup and certain behaviors are causing many people to blame genetics for their shortcomings. Genes seem to influence whether a person is fat, for example, has a gift for dance or may become addicted to cigarettes.   A1    Bush Plans National Monument  President Bush will create the world's largest protected marine area, designating as a national monument a 1,200-mile chain of small Hawaiian islands and surrounding waters and reefs that are home to a spectacular array of sea life, senior administration officials said last night.   A14    NEW YORK/REGION   B1-8    Rampage Followed Attack In Subway, Police Say  A man suspected of stabbing a tourist from Texas on a downtown C train then went on a 13-hour rampage through Manhattan, the police said, plunging a knife into three more people and terrorizing workers at a late-night grocery store. He was arrested after a doorman and cabbies who had seen one of the attacks called 911 on their cellphones as they followed him.   A1    Ruling on 9/11 Detentions  A federal judge in Brooklyn ruled that the government has wide latitude under immigration law to detain noncitizens on the basis of religion, race or national origin, and to hold them indefinitely without explanation. But the judge allowed the class-action lawsuit that prompted the ruling -- filed by Muslim immigrants detained after 9/11 -- to continue on other claims.   B1    Crime Rises, but Not in City  Violent crime rose last year in cities and even in some quiet suburbs in the New York, New Jersey and Connecticut region, according to preliminary statistics released by the Federal Bureau of Investigation. The increases were such that New York City, which saw decreases in violent crime and murders, appeared to be an oasis of relative calm.   B1    SPORTSTHURSDAY   D1-8    1st Woman Joins Bowling Tour  Kelly Kulick, a 29-year-old from Union, N.J., who works part time in her father's auto body shop in neighboring Elizabeth, became the first woman to qualify for a season-long exemption on the Professional Bowlers Association Tour, a 20-event circuit that begins in October.   A1    BUSINESS DAY   C1-15    Inflation Worries Analysts  When the government reported that the core measure of consumer prices edged up 0.3 percent in May and was up 2.4 percent from 12 months earlier, analysts greeted the numbers as uniformly bad -- a far cry from how such news would have been viewed in decades past.   A1    Tribune Breakup Urged  A boardroom feud at the Tribune Company escalated as the Chandler family, one of the largest shareholders, called for a breakup of the company, the latest sign of the growing pressure on newspapers.   C1    Business Digest   C2    EDITORIAL   A22-23    Editorials: A leap of faith, off a cliff","running Hoover's railroad; the journalist as scapegoat; Donald Hall, poet laureate.    Columns: David Brooks, Bob Herbert.    Bridge   E6  Crossword   E2  Obituaries   C16  TV Listings   E12  Weather   A20   News Summary",2000
2000,Joyce Millman reviews Learning Channel's reality series A Baby Story,photo (M) The Addictive Spectacle of Maternal Reality,2000
2009,"Spann Watson, a 92-year-old Tuskegee airman from Westbury, N.Y., flew in Harry Truman's inauguration ceremonies in 1949.  Mr. Watson returned to D.C. with a special invitation to Barack Obama's swearing-in. An Invitation to History",,2000
2009,"American International Group is interviewing banks this week to manage an initial public offering of life insurance unit American Life Insurance Co., sources told Reuters. A.I.G. Interviewing Banks on Alico I.P.O., Report Says",,2000
2008,"Aired Monday night on “The Late Late Show With Craig Ferguson” on CBS: John McCain says that if elected president, he will give a $300 million prize to anyone who can design a new car battery. McCain can get a new type of battery invented because he’s the guy that came up with the idea of not cranking the car up at the start. ‘A New Type of Battery’",,2000
2004,"FLUHR--Gertrude, of Boca Raton, Florida. Beloved wife of Max for 68 years. Devoted mother of Zachary, Laura, Ellen and Butch. Dear sister of Jack Solomon and Ben Solomon (deceased). Adored grandmother of Josh, Melisa, Jeffrey, Claire, Tammy, Kira, Marc and Craig. Doting greatgrandmother of Carly and Bennett. Serivces Wednesday, December 1st, 11:15AM, Riverside Chapel, NY, Amsterdam Avenue & 76th St. Paid Notice: Deaths   FLUHR, GERTRUDE",,2000
2007,The Nebraska senator’s plans may be revealed by Monday. Hagel Drops Hints for Monday,,2000
2006,No place like home: Should you retire with a mortgage?,,2000
2005,"My name is Arpard Herschel Fazakas -- or at least it was until last year, when, at age 51, I changed it. I wanted a name that everyone could say and spell on the first try, not to mention one that wasn't awkward and embarrassing for me. I thought my life would become easier as a result.    When I was a boy, I dreaded the first day of school. I always knew when the teacher reached me on the list because she would begin to stammer. The other kids would turn in their seats, wondering who the weirdo was. When I turned 18, even though my father and my grandfather were both named Arpard, I felt I had suffered enough, and I began to use Art instead. It was much harder finding the nerve to shed my real albatross, Fazakas.   Hello, My Name Was ____________",,2000
2008,"Even as the Bush administration moved to rescue the two largest mortgage finance companies, confidence in the banking sector sank. Confidence Ebbs for Bank Sector and Stocks Fall",,2000
2003,BRITAIN: Cable And Wireless Executive,THE NETHERLANDS: Insurer Takes A Charge; GERMANY: Water Concern Acquired; GERMANY: Trade Surplus Widens; GERMANY: Job Cuts At Shoemaker; GERMANY: Rating Cut At Telecom Concern;. World Business Briefing: Europe,2000
2006,"SELLITTO--Patrick Thomas of Milford, PA died Saturday March 25, 2006 of injuries sustained in an automobile accident. Patrick was born July 29, 1957 in Rockville Centre, New York, attended high school in Carle Place, New York and received his BFA degree from The School of Visual Arts in New York City. Mr. Sellitto was a professional photographer who traveled extensively--notably on behalf of Citibank who hired him to photograph their branches' city environments around the world. He is survived by his wife Cecilia, his daughter Isabelle, his mother Patricia, his two brothers Peter and William, and his niece and nephews. Patrick is also survived by his wife's loving family in Belgium, the family Struyf. Paid Notice: Deaths   SELLITTO, PATRICK THOMAS",,2000
2003,Jeff Turrentine reviews book Chasing Shakespeares by Sarah Smith (M) Repossession,,2000
2006,"Matt Gross travel article on tea estates in foothills of Indian Himalayas (S) The Best of India, One Cup at a Time",,2000
2003,"HEYER--Martin C., Lt. NYFD retired, died December 15, 2003, age 90. Survived by his wife Anne, four stepchildren, five step grandchildren. Paid Notice: Deaths   HEYER, MARTIN C., LT.",,2000
2004,Letter from Texas cattle rancher Tracey Sadler assures public about safety of American beef In Defense of Beef,,2000
2003,"DRACHMAN -- Stanley Robert, M.D., on November 16, 2003, at the age of 81. Beloved husband of Sally Ann. Devoted father of Virginia, Susan, Josh and Dori. Cherished brother of Harvey and Diane. Doting grandfather of Wendy, Abigail, Eliza, and Andrew. A graduate of Columbia University and the College of Physicians and Surgeons, he was a specialist in internal medicine and a Fellow of the American College of Physicians. A generous man, his curiosity was unbounded. He loved life in every possible way. Funeral services Thursday, November 20, 12:30pm, at Westchester Reform Temple, 255 Mamaroneck Rd, Scarsdale, NY. Paid Notice: Deaths   DRACHMAN, STANLEY ROBERT, M.D.",,2000
2006,"Ed Harris gives an expert performance in Neil LaBute's slender, prickly tease of a monologue. Suspicious of Life, Keeping Its Secrets",,2000
2001,"Charles F Long II reopens his boot camp for troubled youths outside Phoenix, Ariz, two months after 14-year-old boy died there","resumption of camp horrifies some parents of former campers, who contend Long's staff is unqualified to recognize kind of emergency that led to death of Anthony Haynes after complications from exposure to intense desert heat; other parents say youth's death should not obscure benefits their children derived from program that uses grueling physical activity and harsh discipline to improve attitudes and behavior; matter of youth's death is still under investigation by Maricopa County Sheriff's Dept; photo (M) Arizona Boot Camp Where Boy Died Reopens",2000
2004,"LEE--Ann Rosenthal, on January 18, 2004, at home, aged 78. Beloved wife of Dr. Stanley L. Lee. Dear mother of Nancy (Gordon Johnson), Ted (Deborah), and Kenneth (Milly) Lee. Dear sister of Robert L. Rosenthal. Devoted grandmother of Seth and Toby Johnson","Matt, Anna, Jamie, and Nina Lee; Sam and Noah Lee. Memorial at a later date. Contributions may be made to Greenwich House Pottery, 16 Jones Street, New York, New York 10014. Paid Notice: Deaths   LEE, ANN ROSENTHAL",2000
2006,"The auction for Univision, which is expected to conclude tomorrow when final bids are due, has become focused in recent days on the potential regulatory hurdles that the two suitors who are dueling for control of the company may face, according to people involved in the process.     At issue is whether the two groups -- one led by Grupo Televisa, Mexico's biggest media company, and another led by a group of private equity firms that control many media properties -- could, should they win the auction, face a challenge by the Federal Communications Commission over foreign ownership restrictions and concentration concerns, these people said.   F.C.C. Rules on Ownership Loom in Duel for Univision",,2000
2000,"Article on muddy waters flowing into Esopus Creek from Shandaken Tunnel, 18-mile tube operated by New York City which flows into Esopus from Schoharie Reservoir to help maintain city's water supply","local Trout Unlimited chapter has filed suit in effort to force city to clean up water; photo (M) As the Waters of Esopus Creek Grow Muddy, the Trout Disappear",2000
2007,SAINTS at PANTHERS. Week 12 in Preview,,2000
2001,"Correction of Jan 19 Op-Ed article, which misidentified 1863 speaker at Gettysburg","he was Edward Everett, not Edward Everett Hale Corrections",2000
2002,"JACOBS-Jerry. 68, died October 31, Brooklyn, NY, surrounded by loving family, Assemblywoman Rhoda Jacobs, children Ronit, Ethan, Sara. He loved and was loved by those whose lives he touched. A gentle soul, always a mentor and teacher, his legacy will be the memory of his goodness, passionate love of ideas and eagerness to share them, his kindness and pursuit of Tikun Olam-a better world. Born Perth Amboy, NJ, graduated Rutgers University. Shiva through November 6, contact 718-434-0446. Paid Notice: Deaths  JACOBS, JERRY",,2000
2009,Clemson University refutes suggestions that it schemed to rise in the U.S. News rankings. Clemson Explains Its Approach to U.S. News Rankings,,2000
2001,"SMITH-Fred C., Jr. On Wednesday, July 4, 2001, of South Orange, NJ. Beloved husband of Margaret McCarron Smith. Devoted father of Michael J., Paul G., Peter M., Christopher D., Stephen F., Monica C., and Timothy J. Smith. Also survived by ten grandchildren. Relatives and friends are invited to attend the funeral from ''The Jacob A. Holle Funeral Home,'' 2122 Millburn Avenue, Maplewood, NJ on Saturday, July 7 at 8:30AM thence to Our Lady of Sorrows Church, 217 Prospect Street, South Orange, where a funeral Mass will be offered at 9:30AM. Interment private. Visiting hours Friday, 2-4 and 7-9PM. Paid Notice: Deaths  SMITH, FRED C., JR.",,2000
2003,"Wesley Clark campaigns at Merrimack Restaurant in Manchester, New Hampshire, must-stop for decades of passing presidential candidates",photo; other stops in first week of campaigning also described (M) Clark Takes His Campaign to New Hampshire,2000
2008,Offshore wind power may yet come to the coasts of Queens… Waft of Patience Is Felt in the Offshore Winds,,2000
2006,Walt Disney Co plans to introduce wireless phone service that will allow parents to set limits on children's cellphone use and track them with Global Positioning System technology (M) Disney Phone Service Has Parents in Mind,,2000
2009,"Albert Pujols’s contract ends after 2011, when he could opt for bigger money with a richer club, but he says he does not expect any baseball town to compare with St. Louis. For Now, Pujols Is at Home in St. Louis",,2000
2000,"Small but growing number of hospitals, clinics and other health care organizations across the country, worried about safety and rising drug costs, are banning free samples of brand name prescription drugs, or limiting what samples their doctors can accept from drug companies","doctors, administrators and pharmacists at hospitals say they worry they cannot control increasing amount of free medicines that are doled out by pharmaceutical representatives; health care administrators assert that samples are helping to inflate their drug costs because drug companies tend to give out samples of newest brand name drugs, which are often most expensive; Dr John Chessare, chief medical officer of Boston Medical Center, and Dr Finley W Brown Jr, private physician in Chicago, comment; graph; photos (M) Growing Opposition To Free Drug Samples; Ultimate Costs and Safety Are Cited",2000
2007,"Here are some of the most recent, richly illustrated holiday gift books about New York. The Illustrated City, to Tie With a Bow",,2000
2006,ACE Aviation Holdings wants to unlock value in Air Canada by spinning off the country’s largest airline. Air Canada Parent Considers Spinoff,,2000
2006,Profile of former New York City Police Comr Bernard Kerik that traces his life from its humble beginnings to successful security consultant and ultimately to his downfall for accepting free work on his apartment while commissioner,"photo (M) After All the Ups, a Lawman's Life Has Many Downs",2000
2006,The Week column,"Long Island Regional Planning Board names Michael White, environmental lawyer, to head board; Suffolk County Executive Steve Levy brokers mediation between Tilles Investment Co and Holiday Organization for 52-acre site in Melville; Canon USA plans to move its headquarters there from Lake Success; Nassau County Executive Thomas Suozzi signs legislation that will require retailers to hand out or post written notice at checkouts explaining 'M' (mature) ratings on video games (M) The Week on Long Island",2000
2004,"Andrew J Veal of Athens, Ga, is found dead of self-inflicted gunshot wound at World Trade Center site in New York City",it is unclear how he entered ground zero site; family says he was distraught over results of presidential election (M) Suicide Is Suspected in Death at World Trade Center Site,2000
2004,Britain pledges $100 million to raise salaries of healthworkers and increase medical training in Malawi,"Malawi is in healthcare crisis due to AIDS, malaria and exodus of nurses; is seen as test case for resolving problems faced by other African nations; money increases nation's medical budget by 30 percent and is part of $200 million six-year package (M) Britain Offers Health Aid for Malawi",2000
2002,"Joanne Starkey reviews Patagonia West restaurant in Westhampton Beach, NY","photo (M) From Argentina, With Something Extra",2000
2004,"Col Deepak Gurung, Nepalese Army chief spokesman, holds that 16 Maoist rebels and 10 soldiers died in assalt on rebel camp in Pandon, Nepal",clash is deadliest encounter since last year's peace talks collapsed (S) At Least 26 Die In Fighting in Nepal,2000
2007,"An article on Nov. 21 about a RAND Corporation study on street stops by the New York Police Department referred incorrectly at some points to an overall figure and misstated the number of individual officers who were found to be disproportionately more likely to stop whites. There were 508,540 street stops in 2006  not 508,540 people stopped  and 13 officers, not 9, tended to stop whites more often. The article also misstated the finding of a racial disparity in the handing out of summonses. Whites are more likely  not less  to receive them. Corrections: For the Record",,2000
2008,The problem with University of Texas at San Antonio’s honor code. Fighting College Plagiarism With Plagiarism?,,2000
2001,Many young people are deciding to work at businesses owned by their families,"some have grown disenchanted with outside business world, while others have been forced to return because of layoffs; it is still unclear whether influx of adult children will have long-last effect on such companies, only 30 percent of which survive into second generation; photo (M)/ Personal Business; Back to the Fold: From Dot-Com to Dad and Mom",2000
2004,He says Bush's staff is neglecting work : Edwards condemns cabinet campaigning,,2000
2006,Prohibiting Internet betting could unintentionally slow the emergence of new tools that have the potential to improve the productivity of the private sector and the government. Short Odds for Ignorance,,2000
2000,"RUTLEDGE - Elizabeth. We mourn the untimely passing of our esteemed colleague-Beth Rutledge. Refugees everywhere, whose cause she so tenaciously upheld for 25 years, have lost a great champion and we have lost a devoted friend. The Staff and Board International Rescue Committee Paid Notice: Deaths  RUTLEDGE, ELIZABETH",,2000
2003,"Economically depressed Manchester, Eng, by using radio transmitters and other wireless equipment supplied by Cisco Systems, has turned six-square-mile area into Wi-Fi hot spot where residents have easy high-speed Internet access","access is helping transform lives of some residents; project is turning convenience for sophisticated techies into technology leveler; comes as wireless Internet access seems to be catching on in Europe; photos (M) With Wireless, English City Reaches Across Digital Divide",2000
2009,The Department of the Interior’s move last week to accelerate development of large-scale solar power plants on federal land in six Western states has companies vying for leases. A Solar Land Rush,,2000
2005,Major stock indexes end the trading week lower,graphs (M) DataBank; Fed's Warning on Inflation Weighs on Markets,2000
2007,"A nursing home works well for short-term recovery. But for long-term care, couldn’t we imagine a better way to spend that $75,000? Escape From the Nursing Home",,2000
2009,Officials are not certain why several runaway goats have turned up in the Bronx in recent months. Possible Religious Link Seen in Mystery of Runaway Goats,,2000
2001,Let the Cars Squeal To the Editor:. Letters to the Editor,,2000
2005,"Chief of credit card processing company whose computer system was penetrated by data thieves, exposing 40 million cardholders to risk of fraud, acknowledges that company should not have been retaining those records","John M Perry of CardSystems Solutions says 200,000 of 40 million credit card records are known to have been stolen from Visa, MasterCard and other card issuers; says data was in file stored for 'research purposes' to determine why certain transactions registered as unauthorized or uncompleted, even though rules established by Visa and MasterCard forbid processors from retaining cardholder information after transaction is handled; says company no longer stores sensitive data on files; details about CardSystems' handling of data raise new questions about effectiveness and enforcement of standards established by card companies for data protection and storage; chart describing steps in consumer credit card transaction (M) Lost Credit Data Improperly Kept, Company Admits",2000
2007,To the Editor:. A Capacity for Denial (1 Letter),,2000
2002,Officials were working today to get some of its singles competition completed despite the rain blanketing New York. Doubles Competition Postponed as Rain Hinders U.S. Open,,2000
2002,Hundreds of patients at South Texas Regional Medical Center are tested for HIV after infected nurse admits stealing doses of a narcotic and possibly using infected needles to replace them with saline solution (M) Hundreds of Texans Treated At Hospital Get H.I.V. Tests,,2000
2000,Article recalls 26 world championships won by New York Yankees,photo (L) 26 WORLD CHAMPIONSHIPS,2000
2002,"Long Island Wine Council, concerned over rising number of busloads of visitors to Long Island wine country, is considering creating visitors center, possible in Riverhead (Long Island Vines column) (M) Wine Visitors Center",,2000
