year,title,excerpt
1992,"As a conservative who has watched low taxes and restrained Government spending and interference create the world's strongest economy, and who sought the Presidency on these principles in 1988, I urge fellow conservatives to be wary of Ross Perot's candidacy.   I understand why Mr. Perot is receiving such attention. The Bush Administration has given most voters, those who helped the Republicans to three landslide victories in the 1980's, the impression that the principles that fueled those triumphs are open to negotiation and easy dismissal. Conservatives: Beware Perot",
1936,Amer Philosophical Soc makes 53 grants from fund of Dr R A F Penrose Jr PHILOSOPHY GROUP MAKES 53 GRANTS,"$160,000 Aid for Research Is Provided Out of Fund Left by R.A.F. Penrose Jr. WIDE RANGE IN PROJECTS Extend All Over the Country -- 8 Princeton Beneficiaries, 7 at the U. of P."
1947,NEGRO SERIES TO START,Cubans Meet Cleveland Team at Polo Grounds Tonight
1951,"50th anniv of 1st farm (C Cook) elec, St Johnsville, Montgomery County, and 1st hydro-elec project (G Beardslee). East Canada Creek, marked",PSC Chmn Feinberg and Lt Gov Moore s; rural elec development traced Electrification of First Farm in New York Fifty Years Ago Marked in Mohawk Valley; AN EARLY HYDROELECTRIC POWER PLANT IN NEW YORK
1938,San Jose State Coll seeks Memphis Teachers or Creighton as opponents NOW IT'S FINGER BOWL,Latest Touch to Football Given by Texans' 6-Man Team Game
2008,Patients with ulcerative colitis should have high expectations of feeling well. Taking Steps to Feel Your Best,
2006,"IN    The News -- Charles G. Taylor, perhaps the most wanted fugitive in Africa, was arrested after fleeing his home in Nigeria, where he had lived in exile.    Behind the News -- Mr. Taylor was brought to Sierra Leone and is expected to face war crimes charges in connection with a civil war in that country, one of several he sparked. The government of Liberia, where Mr. Taylor ruled in the late 1990's, requested his arrest but wanted no part of him. Neither did anyone else: Sierra Leone asked the International Criminal Court in the Netherlands to provide a venue for the trial.    OUT    The News -- Jill Carroll, a freelance reporter for The Christian Science Monitor, was released three months after being kidnapped in Iraq.    Behind the News -- Little was known about the group that released her, the Revenge Brigade, and there were even doubts as to whether it was the same group that had kidnapped her in Baghdad in January, killing her translator in the process. Ms. Carroll herself could shed little light, saying she had not known where she was held and had been almost completely cut off from the outside world.    IN    The News -- Prosecutors in Belarus said they would bring charges against a jailed opposition candidate who led a protest against the results of recent elections.    Behind the News -- The action was one more step in the crackdown against the opposition by President Aleksandr G. Lukashenko, who was re-elected March 19 in a vote Western governments and institutions say was marked by widespread fraud. His move was also one more snub of the West: the European Union and the United States had demanded that the opposition candidate, Aleksandr V. Kazulin, be released.    OUT    The News -- An Afghan man who was jailed for converting to Christianity was released and granted asylum in Italy.    Behind the News -- Although he had never been formally charged, the convert, Abdul Rahman, had faced possible execution after being accused of abandoning Islam. The Bush administration had pressed for his release. The case highlights the difficulty that Afghanistan faces in balancing democracy and religion: the country's new Constitution ensures religious freedom but also states that Islamic law is supreme.    IN AND OUT    The News -- The model Naomi Campbell was charged with assault at a Manhattan police station after a housekeeper accused her of throwing a cellphone at her.    Behind the News -- Ms. Campbell, 35, has been accused of this sort of behavior before -- including a 1998 incident, when she was arrested in Toronto and charged with assaulting an assistant. She pleaded guilty then. Prosecutors requested bail but Ms. Campbell was released on her own recognizance after her lawyer argued that it would be difficult for her to flee, given that she has one of the most famous faces in the world. Catch and Release | March 26-April 1",
1942,US radio propaganda discussed ABOUT PROPAGANDA,"Our Short-Wave Service, Off to a Late Start, Promises a Better Performance"
1990,"LEAD: Morris Howard Hansen, an internationally known statistician who was former associate director for research and development at the United States Bureau of Census, died Tuesday at Georgetown University Medical Center in Washington. He was 79 years old and lived in Rockville, Md. Morris H. Hansen, 79, Census Statistician",
1984,"Four Arab terrorists hijacked an Israeli bus Thursday night, but troops stormed the vehicle early today and rescued about 35 passengers held hostage for 10 hours.     The army said 8 passengers were hurt in the assault, one woman so seriously that she was not expected to survive. According to reporters on the scene, two of the terrorists were killed in a barrage of gunfire from both sides of the bus","the other two were captured.    'We Don't Give In'    Defense Minister Moshe Arens, who was on the scene all night, said the hijackers had demanded the release of 500 Palestinian prisoners. ''We don't give in to terrorist demands,'' he said. ''We had no intention of releasing 500 terrorists from Israeli jails.'' TROOPS RETAKE IT"
1958,"Defense Min details plans to cut expenses, streamline forces BRITAIN GIVES DATA ON CUTS IN DEFENSE",
2003,"New York Public Health Council Quality Initiatives Work Group co-chairman Jeffrey P Gold letter on October 5 article sees need to assure that quality health care be uniformly distributed across New York City Great Health Care, But Not for Everybody",
1934,Lr on studies by J Romains and others in extraretinal vision DISCOVERING MAN'S POWERS.,Psychic Phenomena Are Regarded As Field for Scientific Study.
1960,CANADA BOND ISSUE IS WELL RECEIVED,
2015,Models and influencers take to the streets of Paris to show off their style during men’s fashion week. Street Style at the Men’s Shows in Paris,
1966,"The General Electric Company has announced its entry into a new field, automotive electronics.   G.E. Planning to Market Auto Electronics Items",
1957,"WASHINGTON, Aug. 12 (AP)-- The Senate Finance Committee voted today to let policemen and firemen in New York State,   PENSION BILL GAINS",It Permits Social Security for Policemen and Firemen
2015,Television highlights. What’s on TV Thursday,
1960,"Socialist party pres Corbalan banished from Santiago for 180 days on charges that he slandered Alessandri, other officials Chilean Socialist Banished",
1990,"Pan Am's directors met yesterday and discussed an offer by Carl C. Icahn to take over the airline and merge it with T.W.A., but no decision was revealed.   The meeting came at a gloomy time for Pan American World Airways, which is rapidly running low on cash, and has had no sign that low traffic would pick up or that fuel prices would continue to fall. Cash-Squeezed Pan Am Meets on Icahn Bid",
1926,Death Frederick A. McClure.,
1950,"James G. Schoch has been named controller of Frederick Hart  Co., Inc., Poughkeepsie, manufacturer of electric products. John A. Palmer has been appointed, works accountant. Hart is a sub  sidiary of ATF, Inc., Elizabeth, N.J.   Hart & Co. Names Two",
1959,comment,hydrazine derivative is also called phenelzine (trade name Nardil) Help for the Mind; Drug Relieves Patients With Depressive Mental Illness
1923,visits State Dept in Washington,"talks with Pres Coolidge, Hughes, Taft, Mellon and other officials; visits Woodrow Wilson; interviewed LLOYD GEORGE SEES WASHINGTON CHIEFS; He Talks With Coolidge, Hughes, Taft, Mellon and Other Officials."
1995,"IN the collective hearts and minds of the computer industry, there is a special place reserved for ""early adopters"" who not only purchase version 1.0 of a new product, but also put it to use. Among these is Sheldon Laube, national director of information and technology for the accounting firm Price Waterhouse. Mr. Laube purchased the first 10,000 copies of the Lotus Development Corporation's groupware program, Notes, and now evangelizes for it at any opportunity.    But Mr. Laube also has unusual resources. At Price Waterhouse's technology center in Menlo Park, Calif., he heads a team of 45 whose task is to evaluate new software and hardware products for the firm. Sound Bytes",Staying Ahead of the Curve
1949,Mayor O'Dwyer s QUILL BACKS MAYOR ON TRANSIT ATTACK,Says Labor Told Morris in '40 That City Was Buying Junk in Unification Deal
1954,McCarthy illus with girl who answered query he had put to Zwicker Excerpts From Transcript of Sixth Day of Senate Hearings on Censure of McCarthy,Senator Denies He Ever Refused to Testify in Gillette Committee's Election Investigation
2012,"Chrissie Miller of Sophomore is still a social force, with a new store, 143. Chrissie Miller, Popular and Still Ready to Hang Out",
1982,"CLEARWATER, Fla.  PETE ROSE was asked if Mike Schmidt, his Phillies' teammate and winner of the National League's Most Valuable Player award for the last two seasons, was the best player in baseball. ''He's the best one under 40,'' said Rose.   Pete Rose said it with a half-smile. Pete Rose turns 41 on April 14 - a week after his 20th major league season begins - and he goes into the last stages of his career the way he still generally arrives at second base - head first. A DAILY REGIMEN FOR PETE ROSE",
2003,"Correction of June 17 article on survival of David Trimble, Northern Ireland's most prominent Protestant politician, regarding year he and Catholic politican John Hume won Nobel Peace Prize",it was 1998 Corrections
2000,"Advance Publications is opening Style.com Web site to disseminate fashion information from Vogue, W magazine and eventually other titles owned by its Conde Nast and Fairchild units and to sell fashions directly to public","will begin sales with few charity auctions; Style.com store, to be run by Neiman Marcus, is expected to feature some big-name designers; Advance also hopes to develop its own brand of private label apparel; photo (M) High Fashion Goes on Sale On the Web"
1941,Buys interest in Pan-Amer Bus Lines BUS LINE DEAL REPORTED,Three Systems Get Interest in the Pan-American Lines
1927,Letters awarded Only Nine New Hampshire Football Players Get Letters,Captain Is Not Among Them
1939,Open-Market Paper Decreases,
1921,"Ginghams Will Stay ""Big.""",
1953,""" Elizabeth Is Queen,"" Warner Brothers feature length film on the coronation of Queen Elizabeth II, will open simultaneously at the Little Carnegie and Bryant Theatres on Monday, June 29.   Of Local Origin",
2011,The new regulatory board charged with overseeing the stability of the financial system took its first big steps on Tuesday to set out tentative guidelines to limit trading by banks for their own accounts and to restrict the growth of the biggest financial companies. Panel Begins Setting Financial System Rules,
1950,Prime Min Thors Cabinet resigns after Parliament no-confidence vote on program Iceland's Government Resigns,
1930,"E 15th St, 218",writer dies BURNED TRYING TO SAVE MANUSCRIPTS IN FIRE; Writer Goes Back Into Burning Home After Rescuing His Family.
1971,"Hilton, Ralph: Worldwide Mission. The Story of the United States Foreign Service Worldwide Mission",
1960,Car-Inspection Date Put Off,
1937,"Mayor La Guardia warned yesterday that there is no possibility of more than a small part of the $414,518,050 capital outlay budget requests made by city departments and agencies being translated into actuality this coming year at least, since,- as he explained, he ""can neither print money nor revise the multiplication table.""   NEW CITY PROJECTS WILL BE CURTAILED","La Guardia Warns Only Very Minor Part of $414,518,050 Asked Will Be Available"
1963,Preminger Wins Church Award,
1958,Catherine A. Meyers Married to Lieutenant,
1936,Police Dept to burn obscene literature and pictures INDECENT LITERATURE TO MAKE A BONFIRE,"Police to Burn Heaps of Books, Postcards and Pamphlets, Valued at $10,000, Tomorrow."
1974,"The player with the best record in New York team competitions during a year receives the Spero Trophy of the Greater New York Bridge Association. The 1973 winner is Amalya Kearse of New York, the first woman expert to win this major award. Her success was attributable to a rare combination of technical skill, determination, concentration, and being pleasant to partners. Bridge: Miss Kearse Spero Winner, First Woman to Take Trophy",
1953,UP survey shows huge crop losses Farmers Battle Drought and Bugs,Scourge One of Worst in 20 Years; FARMERS COMBAT DROUGHT AND BUGS
1952,"P H Sampliner urges guarding rights against divisive efforts of extremists, especially in period of tensions PRESSURES NOTED UPON CIVIL RIGHTS",World Tensions Plus Election 'Hysteria' Cited by Speaker for Joint Defense Appeal
2020,"Grinding for layups, absorbing contact, drawing defenders and passing to teammates",Butler was Mr. Inside. Jimmy Butler Finds the Best Spot to Revive the Heat: In the Paint
2002,Kelefa Sanneh reviews latest album by Queens of the Stone Age,"photo (M) Clicks, Hums And Digressions"
2008,Colin L. Powell is letting it be known that he is sizing up the entire field of White House candidates — Democrats included. The Powell Factor,
2004,Prince Harry hit in scuffle,
2018,"Ten members of a group that said it was “fighting the Islamic peril” face terrorism charges. Guns, ammunition and explosive material were seized. Shadowy Cell in France Plotted to Kill Muslim Civilians, Authorities Say",
1985,"Leonard Stern has built a fortune manufacturing Hartz Mountain pet products and has launched a career as a land developer. Now he offers to turn those entrepreneurial skills to benefit New York City's homeless. He proposes to raise $100 million in private funds to construct new, temporary shelters for 2,000 families. All can join in hoping for his success. A Way Out of the Homeless Hotels",
1946,MUSIC NOTES,
1936,"The tendency to drop Monday night performances in favor of an added matinee is now a full-fledged trend. ""Fresh Fields"" will next week become the fifth attraction to do so (extra matinee on Thursday), and ""Ethan Frome"" will join the procession the week of March 16.   NEWS OF THE STAGE",Two More Plays to Shun Monday Nights in Favor of Extra Matinees -- Leslie Adams in 'Left Turn.'
2010,The Deal Professor examines some of the interesting deals that made news during the week. A Potpourri of Deal-Making,
1999,Peter Tonguette letter opposes Michiko Kakutani's July 18 assessment of movie Eyes Wide Shut (S) Don't Call Him Cold,
1968,"PHOENIX, Ariz., Nov. 4 (AP) -- The San Francisco Warriors defeated the Phoenix Suns, 119-108, in a National Basketball Association game tonight.   Warriors Vanquish Suns","LaRusso, Thurmond Star"
1921,"The Canadian Department of Labor, estimating the family budget of food, fuel and rent in July, 1914, as 100, figures out that the average was 66 in 1900, had got as high as 190 in July, 1920, and had fallen to 165 in April of this year. It is added that the cost of living in Canadian cities by this last report is to the cost in 1900 as 250 is to 100.   Living Costs in Canada.",
1957,YACHT HOLSTER IS FIRST,Wins Second Race of Star Class Series in Rio de Janeiro
2018,"“It’s peak snow crab season right now,” the noted chef David Chang said. “I don’t know if people understand.” Our correspondent knew that, and much more. An Olympic Challenge: Eat All the Korean Food That Visitors Won’t",
1977,"McAdoo, Mary Isabel Bovee MARY I. BOVEE M'ADOO, AIDED SALVATION ARMY",
1943,"Lower West Side Boys Club to unveil plaque and distribute Xmas gifts to servicemen in memory of Pvt W Terracino, member killed in Sicily fighting PLAQUE TO HONOR SOLDIER",Gifts to Other Service Men Also to Be in His Memory
1998,"Gen Jose Luis Chavez says rival marijuna-smuggling gang led by Lino Quintana was responsible for Sept massacre of 19 men, women and children at home of Fermin Castro, near Ensenada, Mex, news conference",says Quintana and his armed colleagues were drunk and high on cocaine when their talks with Castro turned violent; three people have been arrested; Quintana remains at large (M) Mexican Official Links Massacre To Drug Rivalry
1948,new high-intensity lighting system shown,held most powerful in world New Fog-Piercing Lights At Idlewild Are Shown
1930,"M K Hart blames industry tax, lack of water power development and welfare legis, in s to Women's Natl Repub Club SAYS INDUSTRY TAX CUTS JOBS IN STATE",W.H. Hart Outlines Reasons for Unemployment in Speech at Women's Republican Club. WELFARE LAWS BLAMED Speaker Asserts That Legislation Is Carried So Far That It Results in Idleness.
2017,"The display of warmth between President Trump and Prime Minister Narendra Modi was at least partly aimed at China, which has disappointed Mr. Trump in recent weeks. Trump Meets India’s Leader, a Fellow Nationalist Battling China for His Favor",
1988,"LEAD: Nearly a month after he forced President Eric Arturo Delvalle out of office, the Panamanian military strongman, Gen. Manuel Antonio Noriega, is more besieged and isolated than ever. But he has shown no further willingness to end the 10-month political crisis in his country by voluntarily relinquishing power. Unyielding Panamanian","Despite Shrinking Options, Noriega Shows Little Willingness to Give Up Grip on Power"
1959,Bur ex-aide Cymrot faces dept trial,"under suspension since Jan '58; Dist Atty Hogan aide repts he testified before grand jury; prosecution by Dist Atty office doubted CITY REALTY AIDE ORDERED TO TRIAL; Wechsler of Columbia to Sit in Department's Action on Cymrot, Now Suspended"
1967,"Inflation fears helped push up silver, platinum and copper futures prices sharply yesterday. The price of wheat was also up sharply.   MARKET STRONG IN COMMODITIES",New Inflation Fears Push Up Metal and Wheat Prices WHEAT COCOA
1967,C L Sulzberger discusses similarities in US policies in Korean and Vietnamese war Foreign Affairs: Not the First 'No-Win' War,
1933,"Maj R van Rolleghem to demonstrate cover for plane said to be fireproof, Hendon airdrome, Eng Plane Believed Firepoof To Be Tested in England",
